colour	x	y	showSelected1	fill
#F8766D	62.015243902439	5.718	East Asia & Pacific	#F8766D
#A58AFF	55.9317073170732	6.612	South Asia	#A58AFF
#C49A00	70.5609756097561	2.27	Europe & Central Asia	#C49A00
#53B400	73.0092682926829	2.864	Latin America & Caribbean	#53B400
#C49A00	68.309756097561	2.517	Europe & Central Asia	#C49A00
#53B400	66.162512195122	5.217	Latin America & Caribbean	#53B400
#00C094	69.0741463414634	6.473	Middle East & North Africa	#00C094
#C49A00	69.6139024390244	2.6	Europe & Central Asia	#C49A00
#C49A00	67.7239024390244	1.98	Europe & Central Asia	#C49A00
#FB61D7	44.8971951219512	8.234	Sub-Saharan Africa	#FB61D7
#00C094	57.4718292682927	7.313	Middle East & North Africa	#00C094
#F8766D	57.0305365853659	7.236	East Asia & Pacific	#F8766D
#FB61D7	47.2092682926829	6.573	Sub-Saharan Africa	#FB61D7
#C49A00	74.9846341463415	1.779	Europe & Central Asia	#C49A00
#F8766D	70.2714146341463	2.079	East Asia & Pacific	#F8766D
#C49A00	70.3585365853659	2.21	Europe & Central Asia	#C49A00
#C49A00	70.2462926829269	2.55	Europe & Central Asia	#C49A00
#FB61D7	38.6890487804878	5.683	Sub-Saharan Africa	#FB61D7
#FB61D7	43.4430731707317	7.507	Sub-Saharan Africa	#FB61D7
#FB61D7	41.4879512195122	7.061	Sub-Saharan Africa	#FB61D7
#53B400	64.5963414634146	4.735	Latin America & Caribbean	#53B400
#FB61D7	57.8001219512195	6.535	Sub-Saharan Africa	#FB61D7
#53B400	57.2617317073171	5.718	Latin America & Caribbean	#53B400
#00C094	63.396487804878	7.472	Middle East & North Africa	#00C094
#FB61D7	50.9770731707317	6.817	Sub-Saharan Africa	#FB61D7
#FB61D7	45.678756097561	6.683	Sub-Saharan Africa	#FB61D7
#FB61D7	47.7214146341463	7.276	Sub-Saharan Africa	#FB61D7
#F8766D	62.1719756097561	4.488	East Asia & Pacific	#F8766D
#C49A00	61.2963170731707	6.402	Europe & Central Asia	#C49A00
#F8766D	35.1138536585366	4.794	East Asia & Pacific	#F8766D
#C49A00	59.5508048780488	5.783	Europe & Central Asia	#C49A00
#00C094	57.6712195121951	5.958	Middle East & North Africa	#00C094
#F8766D	66.3233902439025	5.426	East Asia & Pacific	#F8766D
#C49A00	52.9227073170732	5.021	Europe & Central Asia	#C49A00
#53B400	66.1781951219512	3.411	Latin America & Caribbean	#53B400
#FB61D7	48.835243902439	6.751	Sub-Saharan Africa	#FB61D7
#C49A00	69.082756097561	2.02	Europe & Central Asia	#C49A00
#FB61D7	50.9377804878049	7.099	Sub-Saharan Africa	#FB61D7
#00B6EB	72.6048780487805	1.774	North America	#00B6EB
#53B400	69.0725609756098	2.981	Latin America & Caribbean	#53B400
#C49A00	63.9844390243903	5.983	Europe & Central Asia	#C49A00
#53B400	62.975243902439	4.973	Latin America & Caribbean	#53B400
#53B400	66.2543170731707	4.67	Latin America & Caribbean	#53B400
#53B400	69.7781707317073	4.677	Latin America & Caribbean	#53B400
#F8766D	49.5998048780488	6.574	East Asia & Pacific	#F8766D
#F8766D	55.4799756097561	5.929	East Asia & Pacific	#F8766D
#F8766D	57.469512195122	5.237	East Asia & Pacific	#F8766D
#00C094	43.4045853658537	8.089	Middle East & North Africa	#00C094
#FB61D7	54.5791951219512	5.251	Sub-Saharan Africa	#FB61D7
#FB61D7	51.0413658536585	7.435	Sub-Saharan Africa	#FB61D7
#FB61D7	56.7170243902439	7.395	Sub-Saharan Africa	#FB61D7
